Document,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35
Back_To_Work_Barbra_Streisand,1.91E-02,4.01E-01,1.91E-02,8.42E+00,1.91E-02,4.60E+00,1.91E-02,3.45E+00,3.07E+00,1.93E+00,5.74E+00,7.82E-01,1.53E+01,4.01E-01,1.16E+00,4.01E-01,1.91E-02,4.22E+00,8.80E+00,4.01E-01,1.55E+00,2.31E+00,1.91E-02,3.84E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
The_Last_To_Know_Dan_Fogelberg,3.79E-02,1.37E+01,3.79E-02,2.31E+00,3.79E-02,7.61E+00,3.79E-02,1.55E+00,3.79E-02,9.89E+00,3.79E-02,1.67E+01,3.79E-02,1.55E+00,3.79E-02,8.37E+00,9.13E+00,8.37E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Walk_On_Water_Aerosmith,2.63E-02,7.92E+00,2.63E-02,1.08E+00,2.63E-02,5.53E-01,2.63E-02,1.61E+00,2.63E-02,5.29E+00,2.63E-02,1.08E+00,2.63E-02,9.50E+00,2.63E-02,2.66E+00,1.61E+00,3.71E+00,2.63E-02,2.13E+00,2.63E-02,5.82E+00,2.63E-02,3.71E+00,2.63E-02,4.24E+00,2.63E-02,5.29E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dead_Babies_Alice_Cooper,2.86E-02,2.86E+01,2.86E-02,3.46E+00,2.86E-02,6.00E-01,2.86E-02,1.74E+00,3.46E+00,2.89E+00,2.86E-02,1.74E+00,2.86E-02,2.89E+00,2.86E-02,1.17E+00,2.86E-02,1.74E+00,2.86E-02,1.74E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Look_At_Me_Bread,3.82E-02,8.02E-01,1.56E+00,1.61E+01,3.82E-02,9.20E+00,3.82E-02,2.33E+00,3.82E-02,1.23E+01,3.82E-02,1.56E+00,3.82E-02,9.20E+00,3.82E-02,1.56E+00,3.82E-02,7.67E+00,3.82E-02,8.02E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Donna_Cliff_Richard,5.93E-01,1.16E+00,5.11E+00,2.85E+00,2.82E-02,2.21E+01,2.82E-02,2.29E+00,2.82E-02,1.64E+01,2.82E-02,1.16E+00,2.82E-02,3.42E+00,5.93E-01,5.93E-01,2.82E-02,5.68E+00,2.82E-02,7.37E+00,2.82E-02,5.11E+00,2.82E-02,1.08E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Two_Sides_Carpenters,2.24E-02,3.61E+00,2.24E-02,5.85E+00,2.24E-02,2.15E+01,2.24E-02,5.85E+00,7.65E+00,5.85E+00,2.24E-02,1.82E+00,2.24E-02,9.19E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
American_Without_Tears_Elvis_Costello,1.71E-02,1.72E+00,1.71E-02,1.95E+01,1.71E-02,8.55E+00,7.00E-01,4.45E+00,1.71E-02,4.11E+00,1.71E-02,2.75E+00,1.04E+00,8.21E+00,1.71E-02,2.06E+00,1.71E-02,7.00E-01,1.71E-02,4.80E+00,1.71E-02,1.38E+00,1.71E-02,2.06E+00,2.06E+00,1.04E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Looking_For_A_Lady_Dan_Fogelberg,5.50E-01,5.50E-01,2.62E-02,4.74E+00,2.62E-02,1.60E+00,2.62E-02,4.74E+00,2.62E-02,1.07E+00,2.62E-02,1.07E+00,2.62E-02,5.50E-01,2.62E-02,7.36E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Who_Am_I_Ace_Of_Base,2.27E-02,1.78E+01,1.41E+01,4.77E-01,2.27E-02,1.39E+00,2.27E-02,7.75E+00,2.27E-02,1.84E+00,2.27E-02,5.02E+00,2.27E-02,9.32E-01,2.27E-02,1.09E+01,9.32E-01,2.30E+00,2.27E-02,4.77E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
